Session Summary,,,,,,,
Start Time,2024-12-20 08:53:11.080796700 UTC,,,,,,
End Time,2024-12-20 14:00:32.386858 UTC,,,,,,
Total Trades,11,,,,,,
Profitable Trades,1,,,,,,
Win Rate,9.09%,,,,,,
Final P&L,$-15.96,,,,,,
,,,,,,,
Trade History,,,,,,,
Timestamp,Symbol,Side,Quantity,Price,P&L,Fees,Running P&L
2024-12-20 09:20:01.261711 UTC,BTCUSDT,BUY,0.00100000,$95443.90,$0.00,$0.10,$-0.10
2024-12-20 09:32:54.435073400 UTC,BTCUSDT,SELL,0.00100000,$95333.51,$-0.30,$0.19,$-0.59
2024-12-20 09:34:09.336484700 UTC,BTCUSDT,BUY,0.00100000,$95356.51,$0.00,$0.10,$-0.68
2024-12-20 09:41:28.421758900 UTC,BTCUSDT,SELL,0.00100000,$95328.36,$-0.22,$0.19,$-1.09
2024-12-20 10:16:56.316791900 UTC,BTCUSDT,BUY,0.00100000,$94348.09,$0.00,$0.09,$-1.19
2024-12-20 10:23:20.876170700 UTC,BTCUSDT,BUY,0.00100000,$94417.02,$0.00,$0.09,$-1.28
2024-12-20 10:28:41.676133500 UTC,BTCUSDT,SELL,0.00200000,$91128.30,$-6.88,$0.37,$-8.53
2024-12-20 10:31:07.646747100 UTC,BTCUSDT,BUY,0.00100000,$94735.83,$0.00,$0.09,$-8.63
2024-12-20 10:36:08.064161 UTC,BTCUSDT,BUY,0.00100000,$96455.28,$0.00,$0.10,$-8.72
2024-12-20 10:41:08.458292500 UTC,BTCUSDT,BUY,0.00100000,$94851.11,$0.00,$0.09,$-8.82
2024-12-20 10:43:17.482603700 UTC,BTCUSDT,SELL,0.00300000,$94453.40,$-3.25,$0.57,$-12.64
2024-12-20 10:46:12.518557100 UTC,BTCUSDT,BUY,0.00100000,$95066.01,$0.00,$0.10,$-12.73
2024-12-20 11:20:08.736486300 UTC,BTCUSDT,SELL,0.00100000,$94072.01,$-1.18,$0.19,$-14.11
2024-12-20 11:20:23.645164400 UTC,BTCUSDT,BUY,0.00100000,$94377.07,$0.00,$0.09,$-14.20
2024-12-20 11:21:35.075358200 UTC,BTCUSDT,SELL,0.00100000,$94067.79,$-0.50,$0.19,$-14.89
2024-12-20 11:25:26.258133900 UTC,BTCUSDT,BUY,0.00100000,$93973.95,$0.00,$0.09,$-14.98
2024-12-20 11:30:26.667471100 UTC,BTCUSDT,BUY,0.00100000,$93695.99,$0.00,$0.09,$-15.07
2024-12-20 11:35:59.210305900 UTC,BTCUSDT,BUY,0.00100000,$94606.68,$0.00,$0.09,$-15.17
2024-12-20 11:37:06.551837500 UTC,BTCUSDT,SELL,0.00300000,$93275.85,$-3.01,$0.56,$-18.74
2024-12-20 11:41:00.141506 UTC,BTCUSDT,BUY,0.00100000,$93167.97,$0.00,$0.09,$-18.84
2024-12-20 11:46:03.440091700 UTC,BTCUSDT,BUY,0.00100000,$93260.04,$0.00,$0.09,$-18.93
2024-12-20 11:51:06.012335600 UTC,BTCUSDT,BUY,0.00100000,$93188.01,$0.00,$0.09,$-19.02
2024-12-20 12:00:41.534581400 UTC,BTCUSDT,BUY,0.00100000,$93166.47,$0.00,$0.09,$-19.11
2024-12-20 12:30:51.964027900 UTC,BTCUSDT,BUY,0.00100000,$93019.89,$0.00,$0.09,$-19.21
2024-12-20 13:01:30.685925 UTC,BTCUSDT,SELL,0.00500000,$93972.47,$3.12,$0.94,$-17.02
2024-12-20 13:25:27.867343200 UTC,BTCUSDT,BUY,0.00100000,$93834.00,$0.00,$0.09,$-17.11
2024-12-20 13:26:05.016646900 UTC,BTCUSDT,SELL,0.00100000,$93732.00,$-0.29,$0.19,$-17.59
2024-12-20 13:30:32.640224600 UTC,BTCUSDT,BUY,0.00100000,$93864.02,$0.00,$0.09,$-17.68
2024-12-20 13:31:17.893621700 UTC,BTCUSDT,SELL,0.00100000,$93782.19,$-0.27,$0.19,$-18.14
2024-12-20 13:35:32.991551400 UTC,BTCUSDT,BUY,0.00100000,$94680.00,$0.00,$0.09,$-18.24
2024-12-20 13:35:33.231431700 UTC,BTCUSDT,SELL,0.00100000,$91684.79,$-3.18,$0.19,$-21.60
